,Brand,Review,BOW Similarity Score
14,Bourbon County Brand Stout ,"2019 vintage:', '\n', '\npoured from a 16.9 ounce bottle into a snifter.', '\n', '\nlook- black, medium brown frothy head, visible particulate near the outside of the glass, average head retention and lacing.', '\n', '\nsmell- coffee, bourbon, chocolate, toffee.', '\n', '\ntaste- toffee, bourbon, coffee, vanilla, chocolate, semi sweet.', '\n', '\nfeel- full body, slightly below average carbonation, mouth coating, mouth warming, smooth, creamy.', '\n', '\noverall- vibrant and well balanced flavors with a full body that coats and warms the mouth. this provided a brilliant drinking experience.",0.0
15,Bourbon County Brand Stout ,i drank the 2017 bottling yesterday. it was amazing! the 5 years of aging smoothed out the taste perfectly.,0.0
16,Bourbon County Brand Stout ,"""very first time that i've ever had something like this. the bottle i have is from the 2019 stock."", '\n', '\npoured into a chalice-like glass. color is a very dark blackish and brown mix. thick and syrup-like with a noticeable alcohol aroma.', '\n', '\nsmell is excellent and to me consists of chocolate, plum, coffee, caramel, vanilla, and of course, bourbon. ', '\n', '\nthe 14.7 abv brings a nice, warm taste to the experience and i look forward to my next bottle.', '\n', '\noh yeah, enjoy it with your friends or the family members and they will thank you for the chance to taste a great stout. i highly recommend this to everyone.",0.0
17,Bourbon County Brand Stout ,bought a flight of years from craft cellar. astounding!,0.0
18,Bourbon County Brand Stout ,this is a great beer and dont let anyone tell you otherwise. at 14.6% its very smooth and makes for a great special occasion beer. the only even slightly negative thing i could say about it is that it may be a slight bit too thick to drink at any time. if i was full i dont know that id enjoy one. in my opinion this beer is so good that i think people are now talking bad about it just to go against the grain and feel like they better than everyone else who likes it.,0.0
19,Bourbon County Brand Stout ,"not much of a head. very rich on the nose; bourbon, figs, cola, milk chocolate, and a hint of vanilla. taste is heavy on the bourbon, with figs, honey, and chocolate, followed by roasted malt and coffee. hints of vanilla and oak come and go. the bourbon really dominates, more than just about any other ba stout i’ve had. feel is a bit oily, and the alcohol warmth approaches that of a wine. ', '\ni understand why it’s a classic. this beer has some kick, but does so without becoming cloying or unbalanced. not my favorite, but great nonetheless.",0.0
20,Bourbon County Brand Stout ,"""it's obviously a good stout, but it's just too much for me. very syrupy, very sweet. you get vivid notes of chocolate and bourbon and toffee yet none of it is enjoyable. it simply has none of what i look for in a beer, or even a stout.""",0.0
21,Bourbon County Brand Stout ,"awesome beer in every way. a true favorite. ', '\n', '\nl: dark! dark and thick as motor oil. even the short head is caramel in color. it is beautiful! ', '\ns: nice aroma akin to the bourbon barrels in which it was aged. the mixture of malty stout and bourbon is heavenly. ', ""\nt: this isn't an overly complex stout, and it delivers very well on what it promises. malt, bourbon, and stout. this isn't too say that nothing else is going on. there are underlying flavors that play well together, and the concert of all the flavors together are well-balanced."", '\nf: thick and smooth! matches the look beautifully.', '\no: i love this beer. i scored it shy of perfect because i want there to be even more of everything i described. but maybe leaving me wanting more is what makes this beer so amazing.",0.0
22,Bourbon County Brand Stout ,"exceptional.', '\n', '\nhave had a few bottles, different vintages. does not disappoint. definitely a top beer for any special occasion. ', '\n', '\nthe pour was ordinary, no great head.', '\nnice aroma.', '\ndelicious to drink. truly outstanding. flavors come through, but not too much. smooth and silky. it is on the sweet side, but not quite overbearing, which makes it stand out.', '\n', '\nabv truly hidden. ', '\n', '\nworld class.",0.0
23,Bourbon County Brand Stout ,"l - 2021 vintage. shared half of a 16.9 oz bottle poured into a snifter. pours opaque black with a 1 finger light tan head. has significant lacing as well as alcohol legs from the 14% high abv.', '\n', '\ns - sweet up front. vanilla. cola and chocolate. alcohol. dark fruit. raisin or cherry. some bread scents in the back.', '\n', '\nt - sweet taste as follows scent. lots of dark fruit (prune, date, raisin) up front. almost the taste of a port wine. caramel and vanilla in there. a slight wood or oak. chocolate notes as well. love the complexity of each taste providing a little bit different each time. not boozy even after is warms up some further along like other high abv beers.', '\n', '\nf - really good medium body mouthfeel. lower carbonation from and aged beer. very smooth and drinkable at high abv', '\n', '\no - this is a great beer. i know there are a lot of ""flavors"" in this line now, but i tried the base beer of the 2021 batch, and it was world-class. well worth picking up and adding to the annual rotation.",0.0
24,Bourbon County Brand Stout ,"2019 vintage, fantastic expression of the style. smooth, nice punch of vanilla, with a cacao nibs forward finish.",0.0
25,Bourbon County Brand Stout ,"""delicious stout filled with oak influenced flavors. the one had the pleasure of consuming was from 2015, and the bourbon flavors have softened a little, doesn't seem as forward with the alcohol, just well married into the vanilla and oak flavors. very soft mouthfeel.""",0.0
26,Bourbon County Brand Stout ,"this is my first review on beeradvocate!', '\n', '\npouring this from a 16.9 oz bottle, the pour produces a nice finger or so of tan head that dissipates after a few minutes. a bit of lace is left around the edge, with light head left bubbling in the middle. overall a very dark, nearly black pour gives off a strong boozy scent not uncommon in barrel-aged stouts. the aroma is also quite sweet, which for me is always a good sign of a stout with a good body and careful construction. so far, so good.', '\n', ""\nthe first taste is very, very heavy on the tongue. this is an imperial stout with a lot going on. it sticks to the inside of your mouth like a stout should and has a sweet-hot initial hit, likely thanks to the very high abv of 14%. there is a certain candy flavor up front that i am not a huge fan of, but it doesn't stay around for long. afterward the taste dissolves into almost a cola-like flavor that lingers for a long time. it feels like there are a ton of flavors, including coffee and dried fruit that almost overwhelm anything else. "", '\n', ""\nthis is a fine beer. it isn't my favorite stout of all time, but it is an american imperial stout, and is amongst the most well-crafted i have ever had. i can see this being someone's go-too stout when it's in season, but the flavor profile is just a little too sweet for me. "", '\n', '\nstill, very good.",0.0
27,Bourbon County Brand Coffee Stout ,"born 25 july, 2017. 12.9% abv.', '\ntop popped (53 degrees) with a whimpering sigh, got a nice coffee aroma right away. almost zero head at all made for a full pour into my 12oz avery brewing snifter.', '\nbourbon and espresso coffee share the nose space. ', '\nthe first taste matches the nose. chewing on it a little reveals notes of fine cacao, bit of vanilla, faint oak barrel, a dark fruit i can’t quite put a finger on and a welcoming heat. ', '\nmouthfeel is decadant! little bit of carbonation lightened the usual bcbs heaviness. ', '\nnot overly syrupy too! yay!', '\noverall - a remarkably smooth and excellent treat that stood up to 5 years of temperature controlled storage. ', '\ndamn fine stout!",0.0
28,Bourbon County Brand Coffee Stout ,"12 oz bottle, born on 11/7/2014, poured into a snifter at 55 degrees f:', '\nl - dark and silky with no head', '\ns - dry coffee and roasted malt', '\nt - bourbon blending perfectly with coffee and roasted malt with a bit of chocolate', '\nf - thick mouthfeel and no carbonation at all', '\no - outstanding beer, even at almost 8 years old!",0.0
29,Bourbon County Brand Coffee Stout ,"2014 vintage', '\n', '\nappearance: black with a small, dark, beige head that quickly faded. age probably took a big hit on the head size.', '\n', '\nsmell: fairly prominent bourbon aromas and moderate coffee aromas. not bad, but again age is a factor here as well as the appearance.', '\n', ""\ntaste: bourbon notes, prominent coffee notes, mild brown sugar notes, and mild tannic oak notes. the coffee comes off a touch bitter but considering the age of the beer it's not bad and provides a nice counter to the bourbon notes."", '\n', '\nmouth-feel: mediuml-bodied with a fairly low level of carbonation. not a bad mouthfeel but age is a factor.', '\n', ""\noverall: while the beer wasn't bad, i get the feeling i'm only getting a glimpse of how good the beer was fresh. hopefully it's rebrewed and i can get my hands on a fresh one.""",0.0
30,Bourbon County Brand Coffee Stout ,"goose island – bourbon county brand coffee stout (bcbcs – 2014) ', '\n', '\n12.6% abv ', '\n', '\nthe beer is listed as “stout – american imperial” on ba. ', '\n', '\nthe beer was removed from a 40ish degree temp fridge after having been refrigerated for approximately 2 years. beer poured into 2012 bcbs snifter. ', '\n', '\nfirst impression: pours dark, thinner than bcbs. 4.5 ', '\n', '\nappearance: standard bourbon county. an aggressive pour years only a small amount of khaki head that fades quickly, leaving only a small ring around the glass. 4.25', '\n', '\nsmell: coffee up front. mostly this cold-brew smelling with a hint of grounds and also the dread ‘pepper’. weak barrel on the nose. 4.25', '\n', '\ntaste: 2014 and earlier bcbcs is what all coffee stouts should be judged on for me. as the kids say, ‘it fucks’. and after this many years, to still say that? come on. taste starts with the coffee, shifts to bourbon, pulls in some chocolate fudge brownies, shifts back to bourbon, finishes on coffee, and then a slow finish lasts for longer than most ba stouts, let alone ba coffee stouts. impressive for 12.5% abv. 4.70', '\n', '\nmouthfeel: coffee stouts are always thinner than their regular counterparts. they just are. while this is clearly thinner than the regular, not appreciably so. for judging this against other coffee stouts, this is still upper echelon. 4.75', '\n', '\noverall: this is a great beer, and i’m jamming on this. i debated about whether to have this tonight, because i have to get up in 4.5 hours to hit the bcbs release. well, i’m glad i did, but only because i chose to drink this tonight. it’s really fantastic. it’s incredible how well this has held up. i did have this a few years back (just once), and while it was great, i don’t remember enjoying it quite this much. this is just singing tonight. it’s everything that i want. and the finish just keeps going. i’m in heaven. all this said – could it be better? of course. i’d love to have even more barrel. i’d love to see how this shined at 15%. but for what it is, and compared to others, this is heaven. 4.65', '\n', '\nba review score: 4.56",0.0
31,Bourbon County Brand Coffee Stout ,"bottled 7/25/17, cracking this open just over 4 years later', '\n', ""\noh boy, we have quite the whale here. from what i've heard, the coffee bcbs is one of the most sought after variants, and 2017 is unfortunately the last vintage. i never really expected to see it on a shelf anywhere. however, when visiting dc this past weekend, i decided to pop in a liquor store to search for some of the dogfish head spirits, since we don't get those up here in mass. well, i found their whiskey and was happy, but decided to check out the beer selection. this one was staring at me and i immediately snatched it without looking at the price tag. worth it? let's find out"", '\n', '\npours a velvety black with a finger of dark tan head that quickly fades to a thin ring and leaves minimal lacing but very strong legs', '\n', ""\nthis is wonderfully balanced between roasty and sweet in the nose, like a decadent coffee drink mixed to perfection. i'm picking up on aromas of chewy caramel, lightly acidic coffee, chocolate covered espresso beans, vanilla creme, ripe fig, smooth oak, and just the slightest hint of sweet blueberry"", '\n', ""\nthe fact that this has such a strong coffee presence after 4 years is very impressive. many of these beers tend to fall off in flavor pretty quick, but it is beautifully preserved here, despite not being full force. on the front end of the sip i'm tasting creamy vanilla, lightly spicy bourbon, milk chocolate, medium acidic coffee, and light grape. the swallow brings notes of decadent milk chocolate, oily espresso beans, burnt toast, a touch of that vegetal green pepper character others have complained about in older bottles, and earthy oaked bourbon on the aftertaste"", '\n', '\na medium full body pairs with gentle tingling carbonation, resulting in a thick and viscous beer. finishes mostly dry from the bourbon heat', '\n', ""\nthis beer is awesome! it doesn't quite crack my top 10 though i suspect it might if fresher. regardless, i'm very happy to have tried this one, and here's to hoping they bring it back next year!""",0.0
32,Bourbon County Brand Coffee Stout ,my favorite coffee beer,0.0
33,Bourbon County Brand Coffee Stout ,"2017 vintage ', '\n', '\nl: deep black with a slight twinge of brown', '\n', '\na: the winner in my opinion. bakers chocolate and coffee all the way.', '\n', '\nt: do not drink this beer cold, severely underwhelming. once it warms there is a strong chocolate syrupy goodness up front followed by a slight sweetened cuban coffee. while i assume the coffee has dropped off some, still provides a strong aftertaste which makes it more enjoyable. ', '\n', '\nm: it’s bourbon county. always proper almost syrup like.', '\n', '\no: while a damn good beer, i think the hype train has won with the coffee bcbs. i have not had a lot of them, but i prefer the regular. maybe i’m in the minority here. still great though.",0.0
34,Bourbon County Brand Coffee Stout ,"2014 vintage poured into a pint glass.', '\n', '\nappearance: pours impenetrable dark brown with no head at all, leaving a slight sediment behind in the bottle. ', '\n', '\nsmell: very rich coffee and bourbon, a bit of chocolate. no green pepper.', '\n', '\ntaste: phenomenally smooth and deep. starts with bourbon, shifts to dark, acidic coffee grinds, finishes with a delightful burnt bread roast. my only demerit is that i find the bourbon ever so slightly too dominant on some finishes.', '\n', '\nfeel: full-bodied but not too heavy, with light carbonation. bit of alcohol on the finish, but not too much.', '\n', ""\noverall: it's a huge beer, really well put-together. it's a bourbon-lover's coffee stout, with a very prominent bourbon character that somehow still doesn't mask the big coffee base.""",0.0
35,Bourbon County Brand Coffee Stout ,"2013 vintage - los inmortales coffee ', '\n', '\n335ml bottle - lightly chilled, poured into a snifter.', '\n', '\nappearance: pours a coal-black hue - slightly thin, with a deep reddish-mahogany ring around the top edge. zero head, zero foam, zero collar. just sits like liquorice-coloured liquid in the glass. lifeless.', '\n', ""\nnose: surpriseingly, the coffee is still here - and quite strong. the coffee is deep, dark, roasty and pungent, with an almost stale quality to it - like a gas station coffee maker that hasn't been emptied or cleaned in a day. it almost smells sticky and concentrated, very much like kaluha. zero green pepper. there's some deep roast beneath the coffee, along with a bit of an ashen/smoky note. some tangy dark fruit peeks through, as well as some bourbon, and if you really dig deep, some vanilla, oak, and baker's chocolate emerge. not much warmth. coffee dominates."", '\n', ""\npalate: this 7 year old stout greets the palate fairly sweet, with some rich chocolate fudge, brownie batter, vanilla, bourbon, and oak, before an intense coffee presence explodes and takes the lead. it's a miracle there's still so much coffee in here. the coffee is sweet, black, roasty, with some fresh whole bean notes. saturated, almost like coffee liqueur, and then finally showing some of that stale back coffee character. a whisper of tangy dark fruit pokes out, before some coffee bean bitterness begins to show, quickly compounded by blackened malt bitterness, drying this out very quickly and fully. some more subtle bourbon, followed by some less subtle barrel reappear, and the finish approaches, bringing sticky black coffee, roasty beans, bitter malt roast, pure cacao, charred malt, and spicy charred oak. no lingering sweetness."", '\n', ""\nmouthfeel/body: admittedly, i expected this to be thin, given its age, but surprisingly, it's actually packing some nice heft when chilled. it isn't luscious or chewy, but before it warms, it does have some nice viscosity, though it does thin out as it warms. effervescence is extremely low - not still, and there is some subtle fuzz in there, but like a cup of soda the morning after you poured it. quite sticky around the lips, but almost fully dries out in the finish with all that roast."", '\n', ""\noverall: this is a difficult one to rate. is it fair to formally review and rate a 7 year old coffee stout that i've never had? it may actually not be. i'll never know how this was when fresh, but even now, i'd say this is a perfectly respectable barrel-aged coffee stout. strong coffee presence, no green pepper notes, essentially no oxidation, and maybe just a hint of staleness to the coffee. the bourbon and barrel are subdued, and the effervescence is lacking, but as-is, this is still a great coffee stout. the fact that it has held up so well is definitely a testimony to the early-mid bcbs era. smoke 'em if you got 'em. this is the most you could ask for in a 7 year old coffee stout. i have to wonder if the 2013 was particularly coffee-forward, because apparently less ancient bottles have already lost their beans. certainly not the case here, but i wouldn't hold onto one any longer than this. gracefully aged.""",0.020248557974359573
36,Bourbon County Brand Coffee Stout ,"tasty, what you would expect imo.",0.0
37,Bourbon County Brand Coffee Stout ,"2016 vintage courtesy of jeffreed61. (~4 yrs old). ', '\nl: black with mocha head that fizzles off. ', '\ns: coffee, chocolate, vanilla, oak, tootsie roll. ', '\nt: resiny oaky combo of really good coffee and chocolate/vanilla. tobacco, earth, cinnamon. smooth af. not boozy. ', '\nf: bcbs standard. ', '\noverall: phenomenal. was worried the coffee might make it “fall off” but not the case. deserves high ratings. my favorite variant.",0.0
38,Bourbon County Brand Coffee Stout ,"ok this beer is over ten years old and is the black cat expresso version. was bottled on 03/26/10 - 2208 and it has been cellared in a wine fridge for the whole time at 14 degrees celcius.', '\n', '\na - well its damn dark black oily colour with a dark beige head that dies quickly.', '\ns - very large aromas of old potted coffee and smoley dark vanilla.', '\nt - wow. massive. so up fron some milky latte flavours that pretty soon get drowned out by massive expresso dark coffee. the finish is smokey rolled tobacco before a nice sweet finish ensues that is made up of vanilla and caramel. its massive !', '\nm - deep deep body with light to medium carbonation', '\no - huge beer that is very bold is every sense. it has aged so very well, the only dissapointment is that it didnt smoothen out more as it packs such a punch. this beer is by no means past its best and will go into my hall of fame",0.0
39,Bourbon County Brand Coffee Stout ,"bottled 11/7/14', '\nconsumed 5/1/20', '\n', '\npurchased from goose recently, so i assume it was stored properly. it has none of the vegetable taste i have had in some older coffee bcs. this bottle is perfect. a wonderful balance of coffee bitterness and the sweet bcs barrel notes. i love the smell. there’s a lot of coffee here. drinking it i get a lot of coffee too. i haven’t had a newer bottle in some time, and i know this beer has lost some of its mystique, but in 2014 it was still perfect.",0.0
40,Breakfast Stout ,"very nice and complex, great feeling delicious stout, but not a 100 for me. close but no cigar. not so fast my friend.', '\nvery good though. 97.5",0.0
41,Breakfast Stout ,a perfect beer?,0.0
42,Breakfast Stout ,"i poured a 12oz. bottle into a 20oz. weizen glass and have ended up with two fingers of beautiful, frothy, dark tan foam. it slowly recedes but does not disappear as advertised! typical stout look, very dark, one could say black. there is very thick lacing left all the way down the glass as i consume this one.', '\nthe aroma is malt first, sweet chocolate, and a little of coffee. ', '\nthe sip offers a bit of sweetness, then it is quickly covered with the roasted coffee bitter bite and a bit dry to the finish.', '\nthere is not an alcohol bite here, but this one is a belly warmer. this is very thick creamy stuff with very light carbonation.', '\ngood stuff, i do not take much time between sips, this one keeps calling me back. be careful, at 8.3abv this bowl of oatmeal may sneak up on you!",0.06337242505244779
43,Breakfast Stout ,"yay!! finally got a chance to taste this one. ', '\n', '\npoured a blackish-brown color with a small head that quickly dissipates. the smell was of coffee and chocolate. the taste was of very strong coffee and chocolate, but mostly coffee. definitely a good morning starter.",0.0
44,Breakfast Stout ,"moderately sized head when poured bottle to glass, dissipates but remains at lower levels for some time, creamy appearance and lots of lacing. beer itself looks like black coffee, no light may be permitted to pass through. coffee and chocolate present on nose, coffee more so. sweet bready characterstics as well. in flavor the coffee is much stronger, almost overpowering but not too extreme. finishes long and remains on lips. nice and creamy feel, when swishing, movement of liquid is difficult to perceive, almost envelops the tongue. pretty nice, wish i liked coffee.",0.0
45,Breakfast Stout ,"look: it pours black with a brown head. head retention is very good. ', '\n', '\nsmell: the strong smell of coffee and chocolate dominates the aroma.', '\n', '\ntaste: it has a dominant coffee taste with a decent deal of bitterness going down. there are roasted elements as well. ', '\n', '\nfeel: it has a full body and a good amount of bitterness in the finish.', '\n', '\noverall: this is a great coffee brew.",0.0
46,Breakfast Stout ,"drank early this morning, and wrote this on a napkin. purchased as a single bottle from the blue door for $4.00. poured into a nonic pint glass.', '\n', '\nl - motor oil brownish-black, with a fluffy and viscous two-finger khaki head. lacing is excellent.', '\ns - reminds me of the coffee from dynamite roasting. bittersweet chocolate. roasted oat.', '\nt - matches nose, with a bit more complexity. definite ethanol presence, but the flavor of it never comes through (a good thing). super toasty. bittersweet throughout. more coffee-heavy than chocolate-heavy.', '\nf - thick. heavy. full-bodied, with little carbonation (if any). a sipper.', ""\no - probably not the best idea to have this for breakfast. a prime example for an oatmeal stout. definitely recommend trying this one, but i won't purchase one again (not too into heavy beers).""",0.0
47,Breakfast Stout ,"pours almost black with a thick cream colored head that diminishes with time but never disappears.', '\n', '\naroma of rich coffee with a hint of dark chocolate.', '\n', '\nthe taste is coffee tempered with a splash of milk and sweetened with dark chocolate just enough to take the edge off on top of a bed of dark roasted grains.', '\n', '\nevery sip is rich and full.', '\n', ""\noverall, it's a great coffee stout - one of the best, the benchmark by which other coffee stouts are judged. it hits the perfect coffee / stout balance to highlight the coffee without making it taste like you're drinking black coffee and with a rich, dark stout as the base that holds up nicely to the coffee. other coffee stouts often have too little coffee flavor, or sometimes too much, but this one nails the balance.""",0.0
48,Breakfast Stout ,"""a little bit too sugary and carbonated for my tastes, but a world-class drink nonetheless. it will definitely be my go-to if i'm in the mood for a coffee/oatmeal-style beer.""",0.0
49,Breakfast Stout ,my go to oatmeal stout. simply amazing.,0.0
50,Breakfast Stout ,"i have chased kbs and cbs for a year now. if i had know how good this beer was, i would have been buying it up instead! lower abv, but all of the taste and feel of either of those. a little less complexity, but this is a great beer!",0.0
51,Breakfast Stout ,nothing to add. i am a fan of stouts and this one has zero downsides. outstanding.,0.0
52,Breakfast Stout ,"12 oz bottle', '\nglass: snifter', '\nserving temp: room temperature (approx 71 f)', '\n', '\n', '\nlook: black with huge 2.5-finger khaki head that pretty much fills out the snifter. the head dissipates slowly to leave a slight but consistent khaki coating. lacing is all the way down the glass.', '\n', '\nsmell: dark-roasted columbian coffee with a large dose of bittersweet chocolate.', '\n', '\ntaste: pretty much the same as it smells. coffee. lots of coffee. with notes of bittersweet chocolate and some earthy bitterness. the coffee and earthiness linger into the aftertaste. the alcohol is not noticed.', '\n', '\nfeel: creamy and smooth with medium body.', '\n', ""\noverall: a fantastic stout that has been one of my favorites since i first had it back in 2013 or 2014. i try to keep a couple on hand at all times. this one is a bit more bitter than i remember, but that's likely because this is the freshest breakfast stout that i have had in a while. i have mostly been having them at 1+ years old. at that age, the chocolate takes center stage and the coffee is the supporting act.""",0.0
53,Breakfast Stout ,"a - dark brown / black pour with bubbly, creamy, toffee colored lacing.', '\n', '\ns - big chocolate and coffee roast aroma along with some char.', '\n', '\nt - follows the nose to a ""t"". coffee roast and chooclate char dominate this beer from start to finish along with some coffee bean and espresso underneath. ends with a lingering chocolate coffee char on the back side with some toast cocoa popping up at the very back end.', '\n', '\nm - big medium to full body with just a slight bit of thinness around the edges.', '\n', '\no - this beer continues to be fantastic, not sure what took me so long to review this after drinking it for years. (as i scratch my head.)",0.0
54,KBS ,"the best high abv and i love it. at 80, this is what keeps me going. the chocolate flavor is amazing. i know from the color it was what i wanted. one of these is all i need.",0.0
55,KBS ,"attractive thick tan head, fairly opaque. delicious combination of coffee/chocolate/bourbon. a little sweeter and more overtly chocolate than my ideal, but still extremely good.",0.0
56,KBS ,"""this is a highly-rated beer which prompted me to try it. it's wonderfully complex - chocolate and bourbon on the nose, full-bodied and rich with a velvety mouth feel, finishing off with more bourbon, a little bitterness, and a hint of sweetness.""",0.0
57,KBS ,world class stout. it hardly gets better than this.,0.0
58,KBS ,"black, beige foam, ok.', '\ntoasted smell, chocolate, coffee, artichoke. intense. good.', '\nsalty caramel, vanilla. barrel notes, smooth and chocolately. almost oily.', '\nbitter aftertaste, again caramel and vanilla. oak.', '\na classic, very good.",0.10050378152592122
59,KBS ,"a most impressive imperial stout. beautiful chocolate color with a light head rising to the top. respectfully strong but smooth, light hints of bourbon and chocolate taste. not over powering and does not disappoint. this beer clearly demands a high rating! my favorite stout to date.",0.0
60,KBS ,"an american classic. lovely.,.",0.0
